,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,终于等到第二季了。,0,8,1,6730113574397050523
0,,66666,0,6,1,6732245661615902327
0,,哦,0,6,0,6732314258756353750
0,張,哈哈,0,6,0,6732914871290592322
0,,你好加油！,0,6,0,6733922847136710573
0,想太多de猫,为了何老师而来。。,4,1,7,6729854079738560696
0,,来啦来啦来啦来啦来啦来啦,1,4,19,6729722531341115928
0,谬客,第一？？？,1,3,8,6729722480736838089
0,,biubiu爱心发射范丞丞,2,0,24,6729722800023040827
0,倔强,第一，来看深深,6,0,32,6729722061963588320
0,,都是会员，嚣张一点,4,0,16,6729723068077510363
0,,没有弹幕吗,5,0,3,6729723123643916033
0,,啊啊啊啊啊啊啊啊,5,0,5,6729723148913620954
0,,提前了,3,0,0,6729723224550516131
0,Roche limit,第一！！！57分,0,0,4,6729723347607208746
0,,太有才了！,1,0,0,6729723378270403033
0,,第2季终于开播啦，来看双北，00，深深😜,0,3,18,6729724141567673449
0,,第一名,5,4,6,6729724863935164722
0,,开始喽,0,3,6,6729723525168867099
0,,哇,6,2,1,6729730915006870634
0,,来了来了来了来了来了来了,0,4,5,6729734356848539720
0,Adam豌豆公主,丞丞观察员我来了！,0,1,4,6729737681276217237
0,超,。,0,3,0,6729747808992655027
0,自己的脸说：醒醒，别睡了,来了来了！！,2,4,3,6729751275475844614
0,YEERESERVED,双北啊啊啊啊啊啊,0,2,13,6729754828717880328
0,12,来看撒何组合和学习,0,3,3,6729756928232639290
0,,没有一点防备居然开播了,0,4,4,6729758607119252018
0,,范丞丞我来了,0,3,1,6729760926254430881
0,一只炸毛Yann,哈哈哈来了来了，又有综艺可以追了哈哈哈哈,0,2,7,6729762946579723611
0,,第二季来啦，，啦啦啦啦,0,2,2,6729773373020676783
0,袁丽,还以为没上呢,0,2,1,6729777189173263614
0,,今年的大神真的恐怖,0,1,0,6729778011357508110
0,DDZ666666,好看,0,2,0,6729801527360778975
0,,us,0,4,0,6729837875383433838
0,,555666644,0,4,0,6729800287587070045
0,,终于出新一季了,0,3,0,6729957150221127476
0,W,来了 来了,0,4,1,6729957712906613005
0,,天啊,0,2,0,6730081594465821803
0,,大家都是会员说话嚣张一点,0,1,1,6731600347527629160
0,,宝宝,0,3,0,6731884239748798570
0,,我的小,0,2,0,6731951850390004111
0,,嗯,0,1,0,6732156926089995304
0,,哈哈哈,0,1,0,6732467797205647067
0,🤍,1,0,1,0,6732635368250089014
0,YYYYYYue,❤️,0,1,0,6733006200595034243
0,,大家好。我是第一,5,11,12,6729722317385439880
0,,来了来了🌼🌼,4,14,15,6729722132156624887
0,,期待，不知道这一季还有没有像何运晨那样的,1,13,44,6729722111428069857
0,,不会是第一个吧,0,14,5,6729722848219428571
0,,正片还要等下个星期？,0,13,20,6729721951964115373
0,,第一,1,10,1,6729722943158554142
0,,来啦，第一第一,0,10,14,6729721177750832399
0,FCCCCCCCCCCCC.,福西西，麻麻来啦,1,12,18,6729724248803748606
0,,哪里有深深哪里就有我,0,13,11,6729724413782197723
0,,来了呀 来看🍊,0,14,3,6729723934029316933
0,,来啦来啦！,0,10,8,6729724905887303839
0,,范丞丞！！！,0,12,17,6729725415926559142
0,泱,终于来了,0,13,1,6729725295064490145
0,行者阿堃,先来看面试篇啊,0,13,0,6729725656491860665
0,,来了来了太早了吗,0,10,1,6729725791464263071
0,,只为双北,0,14,3,6729732836972546265
0,学习,双北我来啦啦啦啦啦啦啦啦啦[厉害][厉害][厉害][鸡腿][鸡腿],0,11,23,6729737659893655408
0,,来啦,0,14,0,6729739941532123709
0,٩( ´旺财是个铁憨憨` )و,深深我来了,0,12,7,6729738169588677707
0,多多,周深周深周深我来啦！,0,14,3,6729742996495073598
0,,深深～,0,14,0,6729749021122341748
0,,打卡,2,12,2,6729751723733712683
0,,深深,0,13,0,6729752256686781409
0,,来看深深了[螃蟹],0,13,0,6729753338579502197
0,🐸🐤,来啦来啦来啦来啦来啦来啦,0,10,3,6729754285513912633
0,葫芦,来了来了！！,0,12,0,6729755208856401110
0,,终于等到第二季了,0,11,1,6729755623942463227
0,CaoX,nice，第二季来了,0,11,2,6729755895908563222
0,,第一季开始我在找工作，第二季都播了，我还在找工作,0,10,10,6729757495436746926
0,,来看优秀的人是怎么越来越优秀的,0,12,2,6729761501163486773
0,蓝色星雨,深深，我来啦,0,14,0,6729761480088463770
0,,为丞丞而来,0,11,2,6729763701547050803
0,,啊啊啊来了,0,10,0,6729764319846181688
0,,等来了来了来了来了来了,0,12,1,6729765479231196272
0,,哇塞好期待,0,12,0,6729770233579903622
0,抱起深深就跑,深深我来啦！,0,11,4,6729792542587994563
0,,双北我来了,0,10,3,6729796893834453450
0,CocaCola,来看撒贝宁。。。。,0,11,0,6730003351607640662
0,,深深深,0,11,0,6729993790250218940
0,,喜欢腾讯不守时，留名小梦奈酱,5,20,15,6729721002714449717
0,团团子,提早了！,0,20,3,6729722233762624276
0,,第一,3,23,0,6729722195967766574
0,,第一，啦啦啦,4,24,9,6729722811943237118
0,,我来了,0,23,7,6729721381065829384
0,,第一！！！！！！,0,24,10,6729723237443772319
0,小姑娘喜欢晒太阳,好喜欢,3,21,15,6729724463475620949
0,,啊！,0,20,0,6729724111067006758
0,,弹幕,0,20,0,6729723724229524214
0,,来了,0,24,0,6729724851587133728
0,,来了！嚣张！,0,20,0,6729725329574228265
0,YoRoll,范丞丞我来了,0,21,4,6729725374139403074
0,Juice✨,信号和offer同时看，爱情事业两手抓,6,53,32,6729751407847734993
0,,就我一个人再看么,3,50,5,6729723074561904361
0,,第一第一！！！,0,53,5,6729723194880016993
0,,范丞丞呀💗,1,54,3,6729723999498208149
0,,李香兰你好美,3,52,7,6729724320895445863
0,,来啦 丞丞,0,53,0,6729724635756294314
