,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,Miraitowa.,来了来了好喜欢不准时,0,9,10,6734794706947082031
0,同一个人,来了来了，提前10分钟,1,7,36,6734794767952179364
0,,第一！！,3,6,23,6734794933401058284
0,逃离地球, 来了,0,6,7,6734795638929820891
0,,第一第一第一我来了~芊,0,6,13,6734797757015858028
0,,第一是我！！！！！！！！！！,0,8,11,6734797580384352266
0,,来了前排,0,8,4,6734798041846582188
0,,干饭鹅 : 刷出来了哈哈哈哈哈哈,6,5,20,6734798053167275320
0,陌上花开,来了来了，芳心纵火犯,0,6,5,6734798292108386001
0,, 来了来了,0,8,7,6734798328372374085
0,,陈小V在看吗,0,6,6,6734797247965763666
0,,来了来了！,0,8,3,6734795983622229578
0,,丁辉！！！,0,5,9,6734799026120016086
0,, 第一,0,6,1,6734801051750699240
0,,好期待,0,7,7,6734801369876075287
0,那个冲呀😜,好看,0,5,0,6734805536652594421
0,,丁辉丁辉,0,7,3,6734808631814373832
0,伊人之肩,进度条很给力的样子。,0,9,7,6734811015357334767
0,,大家快看时长！！！！时长爱了！！,5,8,3,6734817703346321294
0,范丞丞全能担当❤️,范丞丞范丞丞我来啦,0,9,2,6734820574444890901
0,艾尔俪雅,报到！深我来啦！,2,8,2,6734824920560367417
0,,第二见识长很奈斯。,0,7,3,6734835416257016395
0,,哦豁,0,8,0,6734835587632792308
0,,[划重点]重点,0,7,1,6734851074060428452
0,Winni🥤,来了来了！！开心！,2,9,0,6734852078200962627
0,,要有,0,5,0,6734986689422806691
0,🈚🈳,哦哦哦哦,0,7,1,6734999465008236999
0,,范丞丞我来了！！,0,7,2,6735030514543165560
0,💋李小沫💋,[撒明灯]来啦来啦来啦,0,5,7,6735076206384265965
0,,时长爱了,0,6,0,6735157286001946159
0,,你几级了,0,5,1,6735170536571341207
0,,。。。,0,7,0,6736124065552563696
0,择一城终老、遇一猴白首。,居家,0,6,0,6736909927655700423
0,,aaa,0,9,0,6737127536556784197
0,落叶🍂, 1,0,9,0,6734807262021789337
0,ベ☆小强呐,周三打卡，每期必追,6,25,14,6734818839462350762
0,,发现抢沙发的秘密啦嘻嘻嘻,0,25,6,6734793789500750696
0,,来了,3,26,0,6734794373687948583
0,,呀呀呀呀呀呀,5,29,12,6734795292564462725
0,, 来了来了,0,29,4,6734795343500090576
0,,来啦，热乎的,2,27,8,6734795447202935905
0,, 准时,0,27,2,6734797733137418702
0,,来了来了来了，喜欢史律师[加油offer][瑞思拜],0,25,2,6734797817569024971
0,,诗薇诗薇,0,27,1,6734798055607384816
0,张六一L,来啦来啦,0,27,2,6734797590967556719
0,,辩论 期待,0,29,0,6734798179923336714
0,, 第一,0,25,0,6734797273714631671
0,,来了来了,0,25,1,6734797126528115474
0,, 来啦来啦,0,25,2,6734796955241128427
0,, 11111111111111哈哈哈哈哈哈,0,25,1,6734796902938157448
0,🌪 reliable., 冲锋,0,29,3,6734798286685150916
0,,1111111,5,28,5,6734798959920296077
0,Z,开始啦耶耶耶耶耶耶,0,29,2,6734799292269568028
0,,刚又充了会员,1,26,6,6734799730723978966
0,,深深我来了,0,28,5,6734800721456675850
0,,我来啦啦啦啦啦,0,26,3,6734800459003307995
0,, 来了,0,28,0,6734802784128010807
0,怼,来了来了来了来了来了,2,25,1,6734819556004660553
0,Z,会员来了,0,26,0,6734831133780374290
0,,像这样的节目应该早点，多出点[划重点],0,26,2,6734836452707994153
0,,我来了我来了,0,26,0,6734842833389690455
0,,史律我来啦,0,29,2,6734849822803086669
0,, 冲冲冲,0,26,1,6734833298210013221
0,, 打卡,0,27,1,6734853836286134527
0,, 大家都是VIP说话硬气点,0,28,4,6734999139231759483
0,,喜欢丁辉李晋晔,0,28,0,6735011261605979659
0,,丁辉李晋晔冲！,0,29,1,6735024948299410891
0,, 丁辉丁辉,0,29,0,6735080164260251387
0,。。,只为深深,0,26,1,6735160761637128631
0,,我来啦第一☝️,0,27,0,6735164549517257638
0,Adokey,好喜欢王律师,0,28,0,6735941395602225630
0,,丁辉！！！,0,27,0,6736857442632059465
0,叶子,也许没有她们学历高，但是确实让人感觉真是的学霸,0,28,0,6735451954412189248
0,, 深深我来啦,0,28,0,6735411691292924197
0,,来了来了，提前5分钟,0,27,0,6737446166662230667
0,,头牌,2,23,1,6734794103168898481
0,,好空啊,1,20,5,6734794805244099386
0,抹茶味的冰淇淋, 来了,0,23,3,6734795102860286847
0,,来了来了来了,3,21,12,6734795306274667093
0,,喜欢不准时哈哈   莎莎你在看没,0,20,14,6734795358616397832
0,,干饭鹅 : 第一 ,3,22,7,6734795502605843323
0,,就喜欢不准时！,0,22,8,6734795600228269080
0,,就喜欢腾讯的不准时,0,20,4,6734795336680187875
0,多巴胺,雯雯，你在看吗，我是鹏鹏,6,24,11,6734797248221651918
0,, 来啦，来啦,0,23,2,6734797209764078477
0,Ss,山西省忻州市打卡,0,24,4,6734796959862257672
0,,第一,0,22,1,6734796924916008134
0,, 第一第一,0,20,0,6734796198159513742
0,,就喜欢不准时的,0,24,2,6734796112710012856
0,, 哈哈哈，来了来了,0,24,0,6734795786947075976
0,29,VIP说话都硬气点,0,20,0,6734800457065548370
0,李小婉wanwan,会员,0,20,0,6734800829150601028
0,,大运河女孩来了！,0,20,0,6734801362836715964
0,,李晋晔加油！,0,51,8,6734793848212618159
0,,就是喜欢tx的不准时,6,50,9,6734794921665378360
0,,来啦,4,50,0,6734798752093241360
0,,周深，我来啦！,0,50,1,6734810923463277678
0,, 长师有没有人看,0,50,4,6734814751730708652
0,,来了,4,54,0,6734837257111875850
0,,丁辉加油背水哥,5,52,7,6734842129806458839
0,萌ིྀMengིྀ,加油詹秋怡,5,54,2,6735024450976551865
0,,都为丁辉抱打不平 确实如此。很多人还是看中学历的,3,53,8,6735033020048678207
0,,深深我来啦！,0,54,0,6735056252192699391
0,, 会员说话嚣张点,0,54,2,6735141022847928940
0,洵明🌸,深深加油,0,54,1,6735155171619742873
0,Suokelo🌬,看完第一季回来看会有不一样的感想,0,53,1,6735171851041313900
0,,干饭鹅 : 我来看丁辉,4,51,3,6735490376482102743
0,,丁辉加油,0,54,0,6736264381740816365
0,流&離 騎著蝸牛去浪,现实的残酷,0,54,0,6736462201584026607
0,拾忆.,我来啦 来看周星星！！！,0,51,0,6735754404966154940
0,🌕,丁辉加油！,0,54,0,6735454750998278822
0,,喜欢秋怡,0,50,0,6735402280523690785
0,, 弹幕终于多了,0,51,0,6734817114663879402
0,,来啦来啦,1,51,0,6734806742045532890
0,,丁辉加油！,0,44,4,6734793777225073150
0,,干饭鹅 : 留个影 然后好好看了,3,42,4,6734795587511848074
0,,哇呀呀呀哇哇哇呀呀,5,43,3,6734795501105293538
0,Avoy,干饭鹅 : 来啦来啦哈哈啊,4,40,6,6734797692931131618
0,, 高某，我来了，你在哪啊,0,43,3,6734796608053384345
0,不熟肯定不够用,来了,0,40,0,6734798782191566906
0,,大家都好早啊,3,44,1,6734801483838533865
0,,范丞丞,0,42,0,6734802004579164669
0,鱼京鱼,深深我来啦！,0,43,2,6734828853546645112
0,,我来啦 来看周星星！！！,0,40,3,6734836749575929106
0,剑来,周深周深周深[厉害offer][厉害offer][厉害offer][厉害offer][厉害offer],0,43,1,6734838232152994094
0,Aries,咸鱼 : 看到我的点个赞,2,41,4,6734834518743780063
0,, 来了来了  丁辉加油,0,41,2,6735033224650063020
0,, 为了看00,0,43,0,6735040572341551489
0,小婷,来看深深❤,0,42,2,6735072655318381293
0,,喜欢詹秋怡小姐姐,0,43,2,6734831290656730898
0,,丁辉加油 逆风翻盘,0,40,1,6735151619547573423
0,可袜子,丁辉我来了,0,42,0,6735181061007286208
0,,深深我来了,0,40,0,6736223643437824612
0,,预告片啊,0,41,1,6736277372049491336
