,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,小小文恒, 来了,0,19,0,6746971781653006941
0,我是会员哦！,来啦,3,13,0,6744940723586660459
0,Yu Gu,1,1,10,0,6744941159467482001
0,xanny,就爱腾讯的不准时,3,11,14,6744941372806201028
0,,干饭鹅 : 说话都硬气点,2,12,4,6744944464230903921
0,Chris, 第一,0,11,4,6744944059867447498
0,,丞,5,14,0,6744943268981098436
0,, 19.55,0,10,3,6744943049123758506
0,, 来了,0,13,4,6744944527872077816
0,, 来啦来啦,0,10,4,6744944585438860062
0,姜丹尼尔,宇轩来也~,0,13,0,6744953782834234429
0,,。,0,13,0,6744960271807692448
0,,前排7:57,0,10,1,6744960391602183310
0,,终于等到你,0,12,2,6744976845416418402
0,,咔咔咔,0,10,1,6744980894168678000
0,剑光照空天自碧。,老鸭,0,13,0,6745001438851133781
0,简简单单,打卡,0,11,1,6745129130167574083
0,Tirion,丁走了,0,12,0,6745018202343371332
0,,  第一,0,10,0,6745184220765201622
0,,深深子我来晚啦,0,14,3,6745187060853966632
0,,打卡丞丞,0,10,0,6745188091343073334
0,,何老师！！,0,13,3,6745203853323941895
0,,来了深深,0,12,2,6745320583983201768
0,,，,0,13,0,6745329007405278266
0,YaoZILv,王俊凯！！！！！,0,14,2,6745536929024426967
0,,时常不错,0,11,0,6745715110237993969
0,,！,0,11,0,6745882163074858820
0,,你晚了一步,5,22,4,6744940734732281508
0,兜,第一？,4,22,5,6744941305602228858
0,C-929,第二！,1,21,0,6744941336999787864
0,,我来的好早,0,21,0,6744941753539949169
0,,第一,0,22,0,6744942245410535158
0,,干饭鹅 : 居然没人,3,20,7,6744942480165715826
0,, 哭唧唧,0,20,0,6744942647727815784
0,酸.....J ●,奶了奶了奶了,4,23,4,6744943225107658613
0,,好舍不得丁晖呀,0,23,0,6744943323715745931
0,, 干饭人刚点了外卖,0,21,0,6744944640236468042
0,,想念丁辉,0,21,0,6744944667335866266
0,,来了,0,22,0,6744944585018470856
0,咕咚,咸鱼 :  哇，终于有标签了！,4,24,6,6744945157914246436
0,,好早呀,0,24,0,6744944626022981948
0,, 没有辉哥的第一天   想他。。。。。。,0,20,9,6744951537878103502
0,上官瑞签带你看内娱,yamy,0,24,1,6744952883087865592
0,, 第一！！！！！！！！！！！！！！！！！,0,24,3,6744959396851728760
0,,考研倒计时9天，冲冲冲冲冲！！！,0,24,1,6744964703534478133
0,,啊啊,6,20,0,6744967613001529850
0,, 对这节目上瘾了,0,24,0,6744975836233010682
0,无颜et, Yamy我来啦,0,23,1,6744977632132265401
0,, 说话都硬气点,0,21,0,6744979592513257715
0,🍊,范老公我来啦！！！,0,21,0,6745017216988807915
0,奥奥,王骁加油,0,23,0,6745011814133150318
0,,秋怡,0,23,1,6745189707065829282
0,,我想丁辉,0,23,1,6745208635027635838
0,半糖主义,我现在来看的动力就是冲着骁哥干新来的男实习生,0,21,0,6745239640875713609
0,, 干饭[厉害],0,21,0,6745290606132053722
0,,我盲猜詹秋怡看他们弹吉他唱歌时在吃醋,0,24,0,6745371035770007451
0,,雅米怎么回事,0,23,0,6745382575805763047
0,,我来看她们怎么怼那个新来的何,0,20,2,6745571831463792221
0,幻墨成烟,这么血腥的吗,0,22,0,6746241792574213474
0,,干饭鹅 : 边看边写作业,2,41,1,6744943819902920600
0,, 盘他,0,41,1,6744945655254818692
0,一只小粉象,前排留名,1,43,0,6744945971826979472
0,,丞星姐姐打卡[6周年],1,44,2,6744946113947136882
0,,干饭鹅 : 丁辉没了，我只能支持肖肖了,4,42,4,6744980310673866335
0,, 干饭了,0,42,0,6745178378049095548
0,囧笑,丞丞舞台好少啊,2,41,0,6745198826744907786
0,微光,肖四都背完了吗,0,42,0,6745275304735439763
0,, 没有丁辉的一天,0,42,1,6745278755092236517
0,Franky. W,想看朱一喧手撕何旻哲的赞我！,0,43,4,6745485741096638413
0,,yamy我来啦,0,41,0,6745532953783369294
0,,王俊凯！,0,43,0,6745528540449973724
0,YaoZILv,王俊凯！！！！！！！！！！！,0,43,0,6745536800380886668
0,Figurative.,来看骁哥弄新人了哈哈哈哈哈哈哈,2,40,0,6745704349020910268
0,,不喜欢新嘉宾,0,41,0,6745707496939391534
0,, yamy 我来啦,0,44,0,6745933517156451797
0,, 丁辉没了的第一期想他,0,42,0,6746010037464310073
0,,👀,0,42,0,6746381055110390864
0,,有人咩,5,39,0,6744941510074549405
0,,提前了哦,2,35,1,6744942930747227854
0,,干饭鹅 : 就喜欢这种不准时,3,37,0,6744943810709016042
0,,18:00,0,35,0,6744944283456044851
0,,来了来了,2,38,0,6744942772819079818
0,给我小白灌点水,哈哈哈哈,1,36,0,6744944933707740598
0,Diver,中伦文德来看了[厉害offer],0,36,0,6744946342566050584
0,🇨🇳雷琼,干饭鹅 : 我来看骁勇,2,39,1,6744947127592615933
0,够安然才自然,来了,0,35,0,6744948979098166575
0,,王俊凯！,1,35,4,6744951070172622472
0,遥遥,抢个前排不过分吧,4,35,0,6744957428602255184
0,文云,前面考研的快去复习 考完了再来看！,0,38,1,6744957613647570300
0,,橘翊安：周深，我来啦,0,36,0,6744957679799137633
0,微微蓝(o^^o),丞丞麻麻来了,0,35,0,6744976871105525879
0,,考研倒计时9天，冲冲冲冲冲！！！,0,35,0,6745003282953389998
0,, 没有辉哥的第一天   想他。。。。。。,0,37,1,6745137902356989163
0,, 看一喧逆风翻盘！,0,39,2,6745203460636423360
0,,秋怡,0,36,0,6745207195950366750
0,故里, 没有丁辉的一天,0,38,1,6745002830379553906
0,, 加油，考研人,0,37,0,6745282506019503883
0,灬, 加油，打工人,0,36,0,6745286457256552465
0,, 凡尔赛呢,0,39,0,6745309256527392895
0,欠, 车模组合的车走了,0,38,0,6745309640793768641
0,,fu,0,38,0,6745953814277815238
0,,骁哥干他,0,36,0,6746010009253421314
0,风雨阳,想念丁辉的第1天。,0,38,0,6746787788534295084
0,Michelleyu,来看深深,2,46,0,6744940955948263623
0,,来了来了,1,49,0,6744941135418035624
0,Jerwin,干饭鹅 : 好家伙，都来这么早,1,45,2,6744942653462784542
0,, 每周准时打卡,0,49,0,6744943174848327653
0,,来了,0,49,1,6744943156714992171
0,伟,111111,6,48,0,6744944021464399959
0,小桃呀,来看范丞丞,0,46,0,6744960641582739040
0,Ada, 现在不是会员也能在这个星期三8点看吗？,0,45,2,6744995233710674986
0,举着水蜜桃的松鼠🍃, 没有辉哥的第一天   想他。。。。。。,2,47,2,6745179349994469539
0,,让人喜欢不起来,0,49,1,6745186932318468242
0,,来了来了来了,0,48,0,6745216745524928828
0,田园^o^豆～, 来干架了,0,46,0,6745266554512016390
0,灬, 柳暗花明又一村,0,46,1,6745286497390492170
0,,最近很嗑一烨之秋,0,46,0,6745542336153365198
0,, 加油，考研人,0,47,0,6746003431552954089
0,,姐姐,0,48,0,6746347808460622836
0,,来啦！,6,59,1,6744941245547183214
0,,第三,0,59,0,6744941338723646815
0,大致如此,这个发音哈哈哈哈,0,59,4,6744943128425776672
0,, 深深啊啊啊啊,0,59,0,6744946916125249273
0,,终于等到了,0,59,0,6744953256100249333
0,,干饭鹅 : 来啦 来啦 很期待,2,55,7,6744954816469414781
0,,好喜欢,0,59,0,6744961213819024584
0,吕彦怡,干饭鹅 : 加油！打工人,1,57,2,6745250691281300958
0,,新来女生的发型真的不好好考虑下吗？,0,59,2,6745278659477829188
0,晨曦阳, 每周准时打卡,0,55,0,6745350477135935757
0,, 丁辉,0,55,1,6745555850800645717
0,, 来了来了！！！！,0,57,0,6745309398912139799
0,Charon,想看朱一喧手撕何旻哲的赞我！,0,57,5,6745645236267456522
0,我家大师兄, 加油啊,0,57,0,6745977118669681999
0,,让人喜欢不起来,0,55,0,6745998502331395275
0,ご栤ㄨ糖, 没有丁辉的一天,1,56,0,6746377273777570514
0,, 秋怡加油,0,55,0,6746741933486930295
0,Zn,干饭鹅 : 57报道,1,52,3,6744943590976797568
0,,难道是第一？,1,53,0,6744944053106187452
0,, 期末人在补作业,0,52,2,6744946271469413525
0,, 来了来了！！！！,0,53,0,6744947205485376797
0,,都没有人诶,5,51,0,6744949861989773336
0,威廉儿(๑•̀ㅂ•́)و✧,周深周深周深,0,52,1,6744977088241445658
0,,来看深深,2,50,1,6744992971143449101
0,两个吉,来了,0,51,0,6745636307826047557
0,,毕竟是律所界的BAT，一定程度也证明了丁辉优秀,5,52,0,6746376224894385436
0,菩提树下,原来45就更新出来了呀,1,33,1,6744940611468719958
0,,第二,1,31,0,6744940718244436059
0,︶ㄣ艳ж籽‰,50分报道,0,33,0,6744942272712264777
0,,干饭鹅 : 来了来了,1,32,0,6744942555005702007
0,,丞星姐姐打卡[6周年],0,33,1,6744943215242310361
0,,第一,0,33,0,6744943045407871315
0,,来看范丞丞,0,31,0,6744944653599535768
0,黎眯,终于来早了一次,0,32,0,6744944702367703594
0,, 团建日,0,33,0,6744945549436456687
0,boss,第三？,4,30,2,6744945654805069288
0,, 没有丁辉的一天,0,33,2,6744951297326739960
0,, 肖四没背就来了,0,31,2,6744976726260435686
0,,哇，更新了吗,0,31,0,6744981713413712107
0,,肖四都背完了吗,4,30,2,6744990705577561756
0,Yyএ,第一次,4,34,1,6745124870369550689
0,是小德呀,我的丁辉啊啊啊啊啊啊,0,31,0,6745167785329458566
0,稂莠龘龘,念念不平丁辉,0,31,0,6745179658692054788
0,囧笑,来看丞丞加油,2,30,2,6745198712672724248
0,, Yamy我来啦,5,30,0,6745244390131957921
0,, 想背水辉的一星期[厉害],0,34,3,6745257010176446009
0,, 丁辉没了的第一期想他,0,34,1,6745353241706919032
0,倩怡,深深我来啦,0,30,0,6745495233765765591
0,,yamy,0,31,0,6745558807810129936
0,,来了来了来了,0,31,0,6745690535375643225
0,淡泊烁,来啦来啦,0,30,0,6745723644744497479
0,KMDIL_Marya,跟着周深来看节目,0,32,0,6745945918069213357
0,, 秋怡我来啦,0,32,0,6746455891982696412
0,,爱了爱了,2,82,0,6744942859502779875
0,黄恺瑶Julia,沒有人嗎,0,82,1,6744943472043128077
0,,干饭鹅 : 来了来了,1,81,3,6744944871200986773
0,,干饭鹅 : 辉哥好可惜,1,84,2,6744945855225327949
0,,喔喔喔喔。第一,2,83,2,6744946320186264362
0,+, 等外卖,0,83,0,6744946894600383468
0,Ruby,等了一周。。。,0,83,1,6744947983861095069
0,芳芳,好看,3,84,0,6744957531467561165
0,,干饭鹅 : 辉辉走了啊啊啊,3,80,5,6744959860196493294
0,Zfare,充了VIP来看周深啦！,0,80,3,6744968369214527222
0,,想念辉辉,0,83,2,6745163604242713871
0,,想念辉哥和瞿总,0,83,1,6745185085172498348
0,悦,听说有丁辉，我来了,0,82,1,6745193532593042315
0,ㅤCatherine.,没有辉哥的第一天π_π,0,84,4,6745331468253776336
0,仕,大家的倍速可以开吗,0,83,0,6745651004931848697
0,七月晚风凉,弹幕呢,0,83,0,6745656850990511678
0,,俺来了,6,88,4,6744944283103723313
0,,来了来了，,5,85,4,6744946617625287349
0,,干饭鹅 : 第一,1,86,4,6744948984571742818
0,花无心, 难兄难弟走了,0,86,6,6744961157908937306
